"","LSOA21CD","distance_any_greenspace","distance_doorstop_greenspace","distance_local_greenspace","distance_neighbourhood_greenspace","distance_wider_greenspace","distance_district_greenspace","distance_subregional_greenspace","LSOA11CD"
"1043","E01012549",272.1411284,286.6213409,355.51858395,485.27481755,485.27481755,4613.346485,9051.216062,"E01012549"
"1044","E01012550",234.6136554,301.78361745,301.78361745,656.8115806,814.15134865,5032.878932,8600.899302,"E01012550"
"1045","E01012551",312.6720195,337.4218514,774.3819925,1008.119806,1008.119806,3816.290864,10284.32824,"E01012551"
"1046","E01012552",210.5842549,213.4153395,261.1077376,605.6825579,605.6825579,4661.071304,9373.485558,"E01012552"
"1047","E01012553",123.49806005,123.49806005,628.12040925,1028.9955385,1028.9955385,4090.1669895,10010.53201,"E01012553"
"1048","E01012554",187.36947905,231.22887085,716.1491012,960.4480987,960.4480987,2399.646526,14057.71931,"E01012554"
"1049","E01012555",100.9678148,119.7100067,179.1376998,321.0640442,321.0640442,4349.47496,9861.159497,"E01012555"
"1050","E01012556",153.8395856,182.3573197,183.4221225,278.3031472,278.3031472,4780.680557,9025.638516,"E01012556"
"1051","E01012557",165.1357878,207.8312573,399.6016712,1559.42688,1559.42688,7579.175482,7366.107394,"E01012557"
"1052","E01012558",265.8454674,290.7784896,564.2730136,1333.228128,1333.228128,7582.844842,7711.364979,"E01012558"
"1053","E01012559",217.0671241,300.2763618,380.2298205,1221.161247,1221.161247,7651.674816,6083.206641,"E01012559"
"1054","E01012560",123.96590165,163.5086435,382.60953165,1383.4281915,1383.4281915,8039.0233685,6703.379642,"E01012560"
"1055","E01012561",188.6034334,192.00795325,192.00795325,192.00795325,240.23736155,7665.2880275,9780.168713,"E01012561"
"1056","E01012562",152.37628815,205.429047,451.7593937,597.6623957,1205.8781975,8977.471657,10680.04167,"E01012562"
"1057","E01012563",119.4024013,127.8396908,172.0882066,176.3680069,231.4368407,7875.023778,9577.593791,"E01012563"
"1058","E01012564",107.882921,115.50197425,115.50197425,115.50197425,128.38618585,7452.421636,9256.1977595,"E01012564"
"1059","E01012566",68.23050467,72.80216187,79.4507054,419.832392,1033.635125,7660.657559,9365.621402,"E01012566"
"1060","E01012569",106.0039637,158.1826253,158.1826253,312.395444,1259.09426,8195.755458,9898.325471,"E01012569"
"1061","E01012570",71.17053098,97.75870995,164.3767905,531.3102124,552.6808098,7051.050684,8753.620697,"E01012570"
"1062","E01018308",559.28884875,911.57924835,1729.106947,2034.572724,2138.237825,6698.101386,6698.101386,"E01018308"
"1063","E01018309",229.9759334,289.488511,579.210224,1358.602909,2792.023271,1768.797533,10284.94756,"E01018309"
"1064","E01018310",104.1967534,111.5279767,142.014086,314.5909174,1997.528931,2868.6697,9190.022517,"E01018310"
"1065","E01018311",140.2084365,285.5893348,748.6749315,1092.174221,2701.3565555,2115.1274315,9979.322594,"E01018311"
"1066","E01018312",157.57961775,245.3225069,570.16328895,713.6908105,2393.9777855,2406.293722,9622.2171595,"E01018312"
"1067","E01018313",511.8434811,511.8434811,511.8434811,1777.060561,2602.093468,10433.22147,10788.15413,"E01018313"
"1068","E01018314",235.1157132,239.1829586,300.1094321,1623.370635,2145.433622,10166.19102,10658.69983,"E01018314"
"1069","E01018315",155.6199682,225.4329162,429.3937194,855.4333162,2055.8601825,2608.705728,9872.25358,"E01018315"
"1070","E01018316",165.5419457,190.21714695,266.1811433,1127.37217,1735.077113,10610.40517,10159.71488,"E01018316"
"1071","E01018317",151.1540555,284.562017,433.7885277,1732.771634,1922.3423455,10063.61606,10732.310335,"E01018317"
"1072","E01018319",122.0496137,373.2978914,512.9224461,2809.235513,2809.235513,6701.14842,8679.368392,"E01018319"
"1073","E01018320",188.7270828,236.7630666,432.5675281,2541.706095,2541.706095,7570.298969,8299.119436,"E01018320"
"1074","E01018321",127.5717383,217.00567865,456.3855285,3222.4805565,3222.4805565,7343.4216695,8058.474224,"E01018321"
"1075","E01018322",147.62363075,148.5993378,324.1011578,3262.475214,3262.475214,7851.828095,7535.8135215,"E01018322"
"1076","E01018323",270.4008034,267.1714753,348.889302,1987.402609,1987.402609,8825.513001,9229.974969,"E01018323"
"1077","E01018324",472.8118057,514.3979827,712.0331921,2396.174882,2396.174882,9349.844401,9402.139833,"E01018324"
"1078","E01018325",258.1140058,768.4935726,771.2582274,951.7282667,951.7282667,8837.062194,10988.40691,"E01018325"
"1079","E01018328",226.9418487,355.1468395,514.5997694,983.8750564,1208.123358,4262.071192,8975.456773,"E01018328"
"1080","E01018330",290.58627155,291.6537067,445.0853966,747.5509992,1049.586006,4644.698288,9694.94429,"E01018330"
"1081","E01018331",137.7163958,137.7163958,287.9406165,793.3028628,814.76507945,4290.822376,9353.272424,"E01018331"
"1082","E01018332",145.8732418,154.9098893,285.9515656,285.9515656,333.2342292,12919.74891,11517.08062,"E01018332"
"1083","E01018333",260.7165243,260.7165243,307.3363892,330.4993045,766.1950496,12563.05319,11464.42731,"E01018333"
"1084","E01018334",518.9784855,610.5322812,695.8472572,695.8472572,1740.979058,13457.49994,12412.7357,"E01018334"
"1085","E01018335",731.946724,959.2854716,1188.078093,3640.618942,4481.237832,14143.13024,13256.55246,"E01018335"
"1086","E01018336",45.86375945,45.86375945,1200.6412105,3140.3891735,3140.7636495,8957.9366535,8961.2717745,"E01018336"
"1087","E01018337",576.03125175,774.63790555,1635.218584,2803.0289445,3037.3894695,8246.1166765,10767.395105,"E01018337"
"1088","E01018338",117.070442,135.3855627,1247.750359,2934.378487,2934.378487,8723.849644,8754.886612,"E01018338"
"1089","E01018339",179.2850923,342.55397645,3955.6505335,4167.864354,4167.864354,17727.22185,13984.11352,"E01018339"
"1090","E01018340",130.2110604,201.8175252,277.7366685,1830.816625,2189.806916,6372.988184,10445.08089,"E01018340"
"1091","E01018341",234.1685266,240.370168,240.370168,1638.932325,2103.299607,11710.37924,11054.19612,"E01018341"
"1092","E01018342",116.4340486,183.0548927,253.9938527,1307.085047,1624.645336,11445.03724,10715.92725,"E01018342"
"1093","E01018343",151.1912525,289.896444,528.1602867,1659.085319,1659.085319,5711.342867,9503.279984,"E01018343"
"1094","E01018344",105.61280735,146.07471625,255.18992945,1952.2530685,1952.2530685,6063.200151,9642.9226915,"E01018344"
"1095","E01018345",122.4571508,134.7861451,134.7861451,2255.680408,2255.680408,6753.641371,9936.416648,"E01018345"
"1096","E01018346",99.289274745,157.66671015,157.66671015,1861.655086,1861.655086,6118.890956,9910.828074,"E01018346"
"1097","E01018347",149.2915874,483.5080658,483.5080658,2193.8216785,2193.8216785,6689.1749775,10273.89532,"E01018347"
"1098","E01018349",328.7152218,341.322922,1205.3600125,2151.273039,2175.924195,3318.8046205,3472.504598,"E01018349"
